"Mass","MolForm","Count"
"201.113196944252","C10H18O4","1380784.9"
"202.671324387391",NA,"1202532"
"202.828284674746",NA,"1173813.1"
"203.034950586133","C11H8O4","1801227.6"
"203.103686813096","C8H16O4N2","1657875.1"
"204.738385935977",NA,"1201148.1"
"205.014218786201","C10H6O5","1752279.4"
"205.05059474712","C11H10O4","2124251"
"205.086977964246","C12H14O3","1190622.5"
"205.159757838433","C14H22O","7039717.5"
"206.991606575641",NA,"1174544.9"
"207.066249021166","C11H12O4","2124695.5"
"208.06150640565","C10H11O4N","1229038.9"
"208.062446130744",NA,"1251823"
"208.074577289772",NA,"1305584"
"208.851599977997",NA,"1249842.1"
"209.009120706343","C9H6O6","2136895.3"
"209.045511357618","C10H10O5","2719042.3"
"209.081898098492","C11H14O4","1803077.4"
"210.842298172441",NA,"1195092.1"
"210.948718235053",NA,"1150172.6"
"211.024787422472","C9H8O6","3182306.5"
"211.061173644796","C10H12O5","3512549.5"
"211.097554978113","C11H16O4","1304552.4"
"211.133937736522","C12H20O3","1536235.3"
"213.004054884117","C8H6O7","1294204.3"
"213.015277479573","C7H6O6N2","3146621"
"213.040428460985","C9H10O6","2539903"
"213.076821569167","C10H14O5","2342273.8"
"213.113209153546","C11H18O4","1615108.6"
"214.050931022372","C12H9O3N","1969100"
"215.05607855856","C9H12O6","2743832.5"
"215.092472606394","C10H16O5","2763291.3"
"215.128844637363","C11H20O4","2822686"
"216.124095214762","C10H19O4N","1331306"
"216.421330564317",NA,"1157376.8"
"217.050586552749","C12H10O4","1311025.4"
"217.071743109364","C9H14O6","1239475"
"217.108116925935","C10H18O5","1337781.9"
"217.52181835929",NA,"1274326.1"
"217.954097310791",NA,"1162936"
"219.029882278359","C11H8O5","1634126"
"219.066240733666","C12H12O4","1678416.9"
"219.098594989909","C8H16O5N2","1551443.5"
"220.025094255628","C10H7O5N","1278623.6"
"221.009125917917","C10H6O6","2130931"
"221.045519148712","C11H10O5","3166198.3"
"221.081891220993","C12H14O4","9920505"
"221.15467759026","C14H22O2","1867263.8"
"221.380730994119",NA,"1298195.4"
"222.09020962229",NA,"5062738.5"
"222.950238026828",NA,"1265953.1"
"223.024793149015","C10H8O6","4077224"
"223.061152325181","C11H12O5","3392171.5"
"223.097560476044","C12H16O4","1421230.9"
"224.056423283216","C10H11O5N","1406731"
"224.087267060683",NA,"2050062"
"224.934819923405",NA,"1208163"
"225.004032134366","C9H6O7","3881322.3"
"225.040449425761","C10H10O6","4702574"
"225.076819499069","C11H14O5","4034929.8"
"225.113187324246","C12H18O4","1387893.4"
"225.457357400963",NA,"1161177.3"
"226.072077046101","C10H13O5N","1431003"
"227.01968946285","C9H8O7","1350468.4"
"227.056078968671","C10H12O6","3424328.5"
"227.092465961673","C11H16O5","3568716.8"
"227.128872213729","C12H20O4","1689680.9"
"227.686576603484",NA,"1240465.9"
