"Mass","MolForm","Count"
"200.092796017419","C9H15O4N","1209711.8"
"200.434646166373",NA,"1133968.3"
"200.933501325652",NA,"1166270.3"
"200.93794587064",NA,"2148798.8"
"201.040431265132","C8H10O6","1260999.9"
"201.076812231104","C9H14O5","1891275.1"
"201.113196944252","C10H18O4","1866446.4"
"201.802013912371",NA,"4042250"
"203.103686813096","C8H16O4N2","1533298.5"
"204.030208413899","C10H7O4N","1175990.8"
"204.791499231469",NA,"3320555.3"
"205.014218786201","C10H6O5","1144698"
"205.159757838433","C14H22O","28744964"
"206.141689990843",NA,"1182017.4"
"206.467806773058",NA,"1147733"
"206.788549981515",NA,"1951847.9"
"206.789446351356",NA,"2789224"
"207.029870854621","C10H8O5","2418293.8"
"207.066249021166","C11H12O4","1737847.9"
"207.248334855004",NA,"1136898.1"
"207.488403956525",NA,"1193615.6"
"208.786517163326",NA,"1569236.8"
"209.009120706343","C9H6O6","1990880.1"
"209.045511357618","C10H10O5","2868706"
"209.081898098492","C11H14O4","1505763.9"
"209.154680339789","C13H22O2","1729767.5"
"210.265886528521",NA,"1158429.8"
"210.286076452496",NA,"1154846.8"
"211.024787422472","C9H8O6","2740545.3"
"211.061173644796","C10H12O5","3285059"
"211.097554978113","C11H16O4","4866116.5"
"211.133937736522","C12H20O3","1833798.4"
"211.468189995635",NA,"1140693.6"
"212.020018214938","C8H7O6N","1480686.5"
"212.032521124009",NA,"1355503"
"212.056422887594","C9H11O5N","1448816.1"
"212.886845377813",NA,"1140244.8"
"213.015277479573","C7H6O6N2","2729626.5"
"213.027512099756",NA,"1251227"
"213.040428460985","C9H10O6","2145947.5"
"213.076821569167","C10H14O5","3429277.3"
"213.113209153546","C11H18O4","1321246.8"
"213.953026591271",NA,"1135555.3"
"214.050931022372","C12H9O3N","1527879.5"
"214.108465571565","C10H17O4N","1178186"
"215.05607855856","C9H12O6","2698483"
"215.092472606394","C10H16O5","2408180.8"
"215.128844637363","C11H20O4","2193142.3"
"217.050586552749","C12H10O4","1183179.4"
"217.071743109364","C9H14O6","1281740.4"
"217.092364640219",NA,"1220813.4"
"217.108116925935","C10H18O5","1285454"
"217.839975765374",NA,"1566319.8"
"219.013162289681",NA,"1156008"
"219.029882278359","C11H8O5","1809320.9"
"219.066240733666","C12H12O4","1393322.6"
"219.372003913236",NA,"1233017.9"
"221.009125917917","C10H6O6","1836560.1"
"221.045519148712","C11H10O5","2504210"
"221.081891220993","C12H14O4","12621844"
"221.118286459105","C13H18O3","1284118.1"
"222.040748580681","C10H9O5N","1341643.1"
"222.077139882514","C11H13O4N","1309901.4"
"222.09020962229",NA,"2895182"
"222.842244815288",NA,"1952124"
"222.89786333475",NA,"1140479.5"
"223.024793149015","C10H8O6","3679879.5"
"223.061152325181","C11H12O5","3271818"
"223.097560476044","C12H16O4","2160268.3"
"224.056423283216","C10H11O5N","1187787.8"
"224.839290613273",NA,"1309955.1"
"225.004032134366","C9H6O7","2442511.3"
"225.040449425761","C10H10O6","3239186"
"225.076819499069","C11H14O5","2992404.5"
"225.113187324246","C12H18O4","1217559.3"
"225.149604088393","C13H22O3","1332634"
"226.035678481274","C9H9O6N","1265502.4"
"226.072077046101","C10H13O5N","1472225.4"
"226.971301085661",NA,"1440556"
"227.056078968671","C10H12O6","3957683.3"
"227.092465961673","C11H16O5","4667318.5"
"227.128872213729","C12H20O4","1782969.6"
"228.051311604285","C9H11O6N","1156108.8"
"228.124124742291","C11H19O4N","1520019.6"
"228.511587513422",NA,"1163704.6"
"228.969241081924",NA,"1755749.8"
"229.035349694013","C9H10O7","1209708.4"
"229.071741258755","C10H14O6","3642992"
"229.108115116444","C11H18O5","1862515.8"
"229.144519996425","C12H22O4","2268023.5"
"229.176324913044",NA,"1158266.8"
"231.05101195753","C9H12O7","1398728.4"
"231.087383471431","C10H16O6","2133836.8"
"231.123754306216","C11H20O5","1202257"
"231.282504650902",NA,"1150179.9"
"231.815457302711",NA,"1924261"
"231.856106394713",NA,"1251882"
"232.093882228189","C8H15O5N3","2488264"
"233.009146328913","C11H6O6","1175616.3"
"233.045530744435","C12H10O5","2572357.3"
"233.081920778568","C13H14O4","1564490.3"
"233.114276552429","C9H18O5N2","1488846.6"
"233.154684480267","C15H22O2","15418452"
"233.155818272865",NA,"1166292.3"
"233.812513594405",NA,"1347632.1"
"233.813418331838",NA,"1569456.3"
"234.040744475635","C11H9O5N","1499345"
"235.024791246263","C11H8O6","2624867.8"
"235.061187254299","C12H12O5","3715433.5"
"235.072409455568","C11H12O4N2","1334379.1"
"235.074240084576",NA,"1589611.4"
"235.097574871721","C13H16O4","1974127"
"235.170349200424","C15H24O2","1161850.3"
"235.765931493304",NA,"1474520"
"235.810460444924",NA,"1553887.1"
"236.056441210259","C11H11O5N","1384454.8"
"236.965896893828",NA,"1501853.9"
"237.004057938512","C10H6O7","1684644.4"
"237.04044214943","C11H10O6","3665066.8"
"237.076835148844","C12H14O5","5507761"
"237.113222661535","C13H18O4","1227447.1"
"237.762990404493",NA,"1603368.1"
"237.76389438856",NA,"1554216.3"
"238.035669565322","C10H9O6N","1415000.5"
"238.072065454105","C11H13O5N","1509983"
"239.019722068048","C10H8O7","2713100.3"
"239.034988337925","C14H8O4","1246351.1"
"239.056111749827","C11H12O6","3742227"
"239.067335160005","C10H12O5N2","15222805"
"239.092497043343","C12H16O5","4473370"
"239.128875334313","C13H20O4","18837536"
"239.165257144449","C14H24O3","1458727.5"
"239.760388253115",NA,"1218840.6"
"240.05134480475","C10H11O6N","1574609"
"241.03537000793","C10H10O7","3101588.3"
"241.071742177286","C11H14O6","5114267.5"
"241.108108701126","C12H18O5","2722211"
"241.135790252748",NA,"17168808"
"241.136462002825",NA,"340896160"
"241.144500716867","C13H22O4","5108138.5"
"241.757451400266",NA,"1859112.1"
"241.758342075002",NA,"1605672.3"
"242.067003394095","C10H13O6N","3633768.8"
"242.139774985264","C12H21O4N","38599288"
"242.176146484794","C13H25O3N","2066303.6"
"243.051022355256","C10H12O7","3079482.5"
"243.087381596419","C11H16O6","4666690.5"
"243.123762567035","C12H20O5","2033482.3"
"243.129717862835",NA,"1356235.6"
"243.133514748991",NA,"93170512"
"243.755390487252",NA,"1406548.9"
"243.98242009037",NA,"1167495.5"
"244.136867466335",NA,"13429802"
"244.633858462599",NA,"1247962.4"
"245.045558737924","C13H10O5","1381752.8"
"245.04891188695","C10H14O5S","4722425.5"
"245.066684736377","C10H14O7","2591485.5"
"245.081934244529","C14H14O4","1317121.1"
"245.103064150889","C11H18O6","6151430"
"245.139434182554","C12H22O5","2058510.4"
"245.925599242084",NA,"1167686.3"
"246.109550881071","C9H17O5N3","6371826"
"247.024801042077","C12H8O6","2565581.8"
"247.061201110717","C13H12O5","2382550.8"
"247.074263164443",NA,"9959130"
"247.097594453292","C14H16O4","1653983.6"
"247.110625955868",NA,"5452515"
"248.056436095518","C12H11O5N","1476300.3"
"248.061432271465",NA,"1262797.5"
"248.077597517745","C9H15O7N","1562193.5"
"249.004063600746","C11H6O7","1768635.6"
"249.04046751717","C12H10O6","3722437"
"249.071290403713",NA,"2657996.8"
"249.076852687644","C13H14O5","3516622.3"
"249.089887662805",NA,"2003921.5"
"249.107689155473",NA,"1826006.1"
"249.113222395913","C14H18O4","2637015.5"
"249.149614708999","C15H22O3","1561056.9"
"250.072090034087","C12H13O5N","1712079.8"
"250.981556004188",NA,"3704000"
"251.019733178809","C11H8O7","3221194.3"
"251.056098647611","C12H12O6","4496084"
"251.092506319237","C13H16O5","4584157.5"
"251.128903530196","C14H20O4","2344167.5"
"252.051361167026","C11H11O6N","2413024.5"
"252.087734846783","C12H15O5N","1790698.4"
"252.503331454423",NA,"1187484.1"
"252.978589348877",NA,"1785823.4"
"253.035398330868","C11H10O7","4952303"
"253.07177564068","C12H14O6","6649081"
"253.082998606432","C11H14O5N2","1609468.4"
"253.108134502222","C13H18O5","4978947.5"
"253.144533727518","C14H22O4","12762381"
"254.067022184674","C11H13O6N","2209296.3"
"254.103385263322","C12H17O5N","1287706.4"
"255.05104328059","C11H12O7","6486825"
"255.066312291644","C15H12O4","1672493.1"
"255.087416289284","C12H16O6","7697203"
"255.123777597574","C13H20O5","4769597.5"
"255.23297053275","C16H32O2","11736925"
"255.594770746784",NA,"1280837.8"
"256.08268374089","C11H15O6N","1872467.9"
"257.030303985754","C10H10O8","2308202.8"
"257.045559830724","C14H10O5","1953135.3"
"257.066676545624","C11H14O7","6578549.5"
"257.103052133468","C12H18O6","4511104.5"
"257.131384889909",NA,"2082184.6"
"257.1394516025","C13H22O5","2074251"
"258.134712278131","C12H21O5N","1841076.6"
"259.020740576014","C8H8O8N2","1193024.9"
"259.024828090448","C13H8O6","1902274"
"259.045954685646","C10H12O8","2245576.5"
"259.061202776841","C14H12O5","1391053.1"
"259.082340544151","C11H16O7","4165075.5"
"259.110641150729",NA,"1588700.3"
"259.118707168251","C12H20O6","2426846.8"
"260.020081805932","C12H7O6N","1463027.1"
"260.976798479733",NA,"1667611.8"
"261.004078478419","C12H6O7","1216164.3"
"261.040467990784","C13H10O6","3274287.5"
"261.061588038628","C10H14O8","1260726.3"
"261.076859822572","C14H14O5","3062843"
"261.089931084473",NA,"1237823"
"261.098007121326","C11H18O7","1615169.6"
"261.113247736521","C15H18O4","2249286.3"
"261.126309171881",NA,"1422666.5"
"261.134364701822","C12H22O6","1246285"
"262.035732326912","C12H9O6N","1333351.9"
"262.07210082377","C13H13O5N","1780851.4"
"262.974791935872",NA,"1346705.5"
"263.019720978381","C12H8O7","3531935.8"
"263.056132940273","C13H12O6","5023915.5"
"263.069156598985",NA,"1838767.5"
"263.092481519202","C14H16O5","4469943"
"263.105583831895",NA,"2182843.3"
"263.128907990626","C15H20O4","3032258.5"
"263.178361308108",NA,"1271250.4"
"264.559957468519",NA,"1215374"
"264.997214091505",NA,"3257115.5"
"264.998986117747","C11H6O8","1704732.1"
"265.035393776946","C12H10O7","5906216"
"265.071785513532","C13H14O6","7225139.5"
"265.075140024113","C10H18O6S","1268532.9"
"265.084839287954",NA,"2069304"
"265.108154498567","C14H18O5","6205247.5"
"265.121237246142",NA,"1691715.8"
"265.14456916845","C15H22O4","3068235.3"
"265.147915100731","C12H26O4S","21279564"
"266.030626613158","C11H9O7N","1951596"
"266.067036130837","C12H13O6N","2602104"
