"Mass","MolForm","Count"
"200.842444611591",NA,"1147616.9"
"200.93794587064",NA,"1380843.4"
"201.113196944252","C10H18O4","1369086.5"
"201.802013912371",NA,"1792327.9"
"202.828284674746",NA,"1619887.8"
"203.092453588257","C9H16O5","1239241.5"
"204.825338329813",NA,"2208873"
"205.014218786201","C10H6O5","1304953.5"
"205.05059474712","C11H10O4","1585276.6"
"205.159757838433","C14H22O","7387782"
"206.822385734943",NA,"1133455.3"
"207.029870854621","C10H8O5","1737503.6"
"207.066249021166","C11H12O4","1618850.4"
"208.845231900347",NA,"4005800.3"
"209.009120706343","C9H6O6","1682868.1"
"209.045511357618","C10H10O5","1637174.8"
"209.081898098492","C11H14O4","1854905.4"
"209.318906537687",NA,"1232074.4"
"209.719616102951",NA,"1192422.8"
"210.842298172441",NA,"5973044.5"
"211.024787422472","C9H8O6","2608448.5"
"211.061173644796","C10H12O5","2180931"
"211.097554978113","C11H16O4","1204805.5"
"211.143841993993",NA,"1310280.6"
"211.800083634928",NA,"1137204.6"
"212.020018214938","C8H7O6N","1364483.1"
"212.839342256102",NA,"3357369"
"212.886845377813",NA,"2585020"
"213.015277479573","C7H6O6N2","1439300.5"
"213.034049627483",NA,"1148229.8"
"213.040428460985","C9H10O6","1577414.1"
"213.076821569167","C10H14O5","2733768.5"
"213.500354508077",NA,"1157604"
"214.883895382543",NA,"1464509.6"
"215.05607855856","C9H12O6","1821256.8"
"215.092472606394","C10H16O5","2510667"
"215.128844637363","C11H20O4","1494349.4"
"216.932859219798",NA,"1472451.3"
"217.108116925935","C10H18O5","1263054.8"
"218.670506747386",NA,"1177528.3"
"219.066240733666","C12H12O4","1176019.8"
"221.009125917917","C10H6O6","1360352.1"
"221.045519148712","C11H10O5","1921506.9"
"221.081891220993","C12H14O4","10232550"
"221.15467759026","C14H22O2","1790443.1"
"222.09020962229",NA,"2629427.3"
"222.950238026828",NA,"2361464.5"
"223.024793149015","C10H8O6","3344766.5"
"223.061152325181","C11H12O5","2535553.5"
"223.097560476044","C12H16O4","1813636.6"
"224.300071096665",NA,"1254379.4"
"224.947309353375",NA,"1335205.5"
"225.004032134366","C9H6O7","2693162.8"
"225.040449425761","C10H10O6","3038766"
"225.076819499069","C11H14O5","2851889.5"
"225.113187324246","C12H18O4","1366196.8"
"225.77177165975",NA,"1153906.8"
"226.971301085661",NA,"1643497.9"
"227.01968946285","C9H8O7","1188846.9"
"227.056078968671","C10H12O6","2336242.5"
"227.092465961673","C11H16O5","2765046.3"
"227.128872213729","C12H20O4","1266170.1"
"228.969241081924",NA,"1377220.3"
"228.970717854053",NA,"1824964.4"
"229.071741258755","C10H14O6","2324688.3"
"229.108115116444","C11H18O5","1759188.5"
"229.144519996425","C12H22O4","1396440.8"
"230.48604213683",NA,"1159036.9"
"230.823733875374",NA,"1175336.4"
"231.087383471431","C10H16O6","1365962.9"
"231.428844612876",NA,"1161848.6"
"232.093882228189","C8H15O5N3","2833236.3"
"233.009146328913","C11H6O6","1290712.6"
"233.045530744435","C12H10O5","2386398"
"233.081920778568","C13H14O4","1673699.4"
"233.114276552429","C9H18O5N2","1312232.3"
"233.118284192922","C14H18O3","1262824.9"
"233.154684480267","C15H22O2","18631662"
"234.868810643857",NA,"1275386.8"
"235.024791246263","C11H8O6","2555668.3"
"235.061187254299","C12H12O5","2746138.3"
"235.074240084576",NA,"1618204.5"
"235.097574871721","C13H16O4","2268960.3"
"236.105381468175",NA,"1746891"
"236.965896893828",NA,"13850211"
"237.004057938512","C10H6O7","1156713.6"
"237.04044214943","C11H10O6","3652208.3"
"237.076835148844","C12H14O5","3578998.8"
"237.113222661535","C13H18O4","1359229.4"
"238.035669565322","C10H9O6N","1302695.3"
"238.962964376598","C13H4OS2","3312088.3"
"239.019722068048","C10H8O7","3110371.3"
"239.034988337925","C14H8O4","1365734.1"
"239.056111749827","C11H12O6","3110378.3"
"239.067335160005","C10H12O5N2","2587116.5"
"239.092497043343","C12H16O5","2843633.5"
"239.128875334313","C13H20O4","8340472.5"
"239.165257144449","C14H24O3","6402047.5"
"239.387635605123",NA,"1194155.3"
"240.863627988981",NA,"1234389.8"
"241.03537000793","C10H10O7","2144121.5"
"241.071742177286","C11H14O6","3105153"
"241.086890138079",NA,"1186308.1"
"241.135790252748",NA,"7813518.5"
"241.136462002825",NA,"138916240"
"241.140171811066",NA,"2404751.3"
"241.194158729124",NA,"1205850.6"
"242.139774985264","C12H21O4N","21312100"
"242.176146484794","C13H25O3N","2373995.3"
"242.629920247246",NA,"1218125.9"
"242.966204934348",NA,"1355671.8"
"243.087381596419","C11H16O6","3142962.5"
"243.132832755291",NA,"2975548.5"
"243.133514748991",NA,"49492796"
"244.136867466335",NA,"8142878.5"
"245.009307083049",NA,"1284583.3"
"245.04891188695","C10H14O5S","3938032.5"
"245.066684736377","C10H14O7","1486580.6"
"245.103064150889","C11H18O6","2109949"
"246.109550881071","C9H17O5N3","6254059"
"246.59750801998",NA,"1229920.3"
"246.940320939851",NA,"1450675.5"
"247.024801042077","C12H8O6","2507464"
"247.061201110717","C13H12O5","2622161"
"247.074263164443",NA,"1815252.1"
"247.082336843181","C10H16O7","1430998.1"
"247.097594453292","C14H16O4","2028249.9"
"247.110625955868",NA,"3085533"
"249.004063600746","C11H6O7","1754293.4"
"249.04046751717","C12H10O6","2939582.8"
"249.053522835028",NA,"1582018"
"249.076852687644","C13H14O5","2987208"
"249.107689155473",NA,"1246927.8"
"249.113222395913","C14H18O4","2874065.3"
"249.149614708999","C15H22O3","1591258.4"
"250.144861740769","C14H21O3N","1525210.6"
"250.981556004188",NA,"22305462"
"251.019733178809","C11H8O7","2426047.5"
"251.056098647611","C12H12O6","3935433"
"251.069192576234",NA,"1182924.6"
"251.092506319237","C13H16O5","2910930.8"
"251.128903530196","C14H20O4","2491612.3"
"251.165267297786","C15H24O3","1204326"
"251.981136323598",NA,"2135999"
"252.486304206404",NA,"1272263"
"252.978589348877",NA,"7207116.5"
"253.035398330868","C11H10O7","2940124"
"253.07177564068","C12H14O6","4389094"
"253.108134502222","C13H18O5","3312367.8"
"253.144533727518","C14H22O4","2585337.8"
"255.014629846162","C10H8O8","1239550.6"
"255.05104328059","C11H12O7","4434697"
