"Mass","MolForm","Count"
"200.048348949426",NA,"1240007.8"
"200.092796017419","C9H15O4N","1840460.1"
"200.12917230768","C10H19O3N","1631439.6"
"200.805428271345",NA,"1135824.5"
"200.93794587064",NA,"1565724.9"
"201.002807075658",NA,"1225762.9"
"201.040431265132","C8H10O6","1262630.4"
"201.076812231104","C9H14O5","6758953.5"
"201.088041786092","C8H14O4N2","1268778.8"
"201.113196944252","C10H18O4","13947437"
"201.149578211959","C11H22O3","1766064.4"
"201.802013912371",NA,"9033323"
"202.072056785429","C8H13O5N","1681281.9"
"202.108438580329","C9H17O4N","5688965"
"202.828284674746",NA,"6537921"
"203.056088073855","C8H12O6","2062803.4"
"203.092453588257","C9H16O5","6191830"
"203.103686813096","C8H16O4N2","4835031"
"203.128837832673","C10H20O4","3056857"
"203.635649566976",NA,"1224320.8"
"204.066588592769","C11H11O3N","15899425"
"204.261713957213",NA,"1322031.9"
"204.825338329813",NA,"7948120.5"
"205.831220902895",NA,"1184478.1"
"206.791900751453",NA,"2139868.8"
"206.822385734943",NA,"4150750.8"
"206.910023102085",NA,"2329572.3"
"207.012110279783","C10H8O3S","1217002.6"
"207.029870854621","C10H8O5","1403627.8"
"207.07931706972",NA,"1158254.9"
"208.074577289772",NA,"2945067.5"
"208.097890058785","C11H15O3N","1475245"
"208.788974580722",NA,"1789013.5"
"208.789873925301",NA,"2167893.5"
"208.819431651324",NA,"1418839.3"
"208.845231900347",NA,"20991064"
"208.907090567679",NA,"1704156.4"
"208.934578888928",NA,"2797918"
"208.975509700043",NA,"1180704.3"
"209.009120706343","C9H6O6","1788258.3"
"209.045511357618","C10H10O5","3435108.3"
"209.081898098492","C11H14O4","2747750.3"
"209.154680339789","C13H22O2","1886058.5"
"210.071613852833",NA,"1325342"
"210.080702791268",NA,"1201822.5"
"210.786912033811",NA,"1693381.3"
"210.842298172441",NA,"34233544"
"211.01232012778",NA,"1864657.5"
"211.024787422472","C9H8O6","1940946.3"
"211.061173644796","C10H12O5","3857108.3"
"211.097554978113","C11H16O4","6246614"
"211.133937736522","C12H20O3","6054104"
"211.80213106176",NA,"2123260"
"212.020018214938","C8H7O6N","3727111.8"
"212.056422887594","C9H11O5N","1622793.6"
"212.784098620176",NA,"1156784.5"
"212.839342256102",NA,"18267444"
"212.886845377813",NA,"3688758"
"212.979181491172",NA,"4660027"
"213.015277479573","C7H6O6N2","2197820.8"
"213.040428460985","C9H10O6","1914430.1"
"213.076821569167","C10H14O5","6211904"
"213.113209153546","C11H18O4","9274690"
"213.124441853073","C10H18O3N2","6029634.5"
"213.149580605995","C12H22O3","3004228"
"213.59592845118",NA,"1213147.8"
"214.050931022372","C12H9O3N","5432692"
"214.072073921271","C9H13O5N","2895733.3"
"214.108465571565","C10H17O4N","2463095.3"
"214.144827458405","C11H21O3N","2997625.3"
"214.804958342506",NA,"1168156.8"
"214.836392930714",NA,"3353758.5"
"214.883895382543",NA,"1969569.1"
"214.934886885427",NA,"1976483.9"
"214.95958039049",NA,"1633317.1"
"215.001935810972","C8H8O5S","5494183.5"
"215.032761523618",NA,"1366441.1"
"215.05607855856","C9H12O6","1680810.5"
"215.092472606394","C10H16O5","8147372.5"
"215.128844637363","C11H20O4","11682222"
