"Mass","MolForm","Count"
"201.113196944252","C10H18O4","1633957.9"
"202.815884146552",NA,"1226537.1"
"202.828284674746",NA,"1642794"
"203.103686813096","C8H16O4N2","1163453.4"
"204.825338329813",NA,"1735724.3"
"205.159757838433","C14H22O","1545279.9"
"207.012110279783","C10H8O3S","1285794.6"
"208.845231900347",NA,"1643766.3"
"208.943425494404",NA,"1399290.4"
"209.649207585194",NA,"1183959.3"
"210.842298172441",NA,"2567237"
"211.024787422472","C9H8O6","1979467.8"
"211.061173644796","C10H12O5","1204301"
"211.801958007326",NA,"1598311.5"
"212.157906118349",NA,"1175667.9"
"212.786836738058",NA,"1144713.3"
"212.839342256102",NA,"1785995"
"212.886845377813",NA,"1228044.6"
"213.015277479573","C7H6O6N2","1410960.9"
"213.040428460985","C9H10O6","1147537.8"
"213.076821569167","C10H14O5","1521299"
"214.228371271818",NA,"1223416.8"
"215.05607855856","C9H12O6","1514963.6"
"215.092472606394","C10H16O5","2257108.8"
"215.128844637363","C11H20O4","1237717.9"
"218.014195541836",NA,"1199157.5"
"221.081891220993","C12H14O4","5868713.5"
"221.15467759026","C14H22O2","1608236.8"
"222.09020962229",NA,"2856405.8"
"222.950238026828",NA,"2284798"
"222.959073413494",NA,"1701118.5"
"223.024793149015","C10H8O6","1768193.8"
"223.061152325181","C11H12O5","1510403.5"
"225.004032134366","C9H6O7","1696875.8"
"225.040449425761","C10H10O6","1572845.9"
"225.205502166666",NA,"1253239.6"
"227.056078968671","C10H12O6","1763567.3"
"227.092465961673","C11H16O5","1464561.8"
"231.087383471431","C10H16O6","2108483.3"
"231.123754306216","C11H20O5","1338310.8"
"231.285216481224",NA,"1223767.1"
"232.093882228189","C8H15O5N3","2442412"
"233.081920778568","C13H14O4","1247387.5"
"233.154684480267","C15H22O2","3835428"
"233.738487849973",NA,"1176234.4"
"235.024791246263","C11H8O6","1532431.3"
"235.097574871721","C13H16O4","1603353"
"235.356123476126",NA,"1188156"
"235.678527203579",NA,"1224680.3"
"236.105381468175",NA,"2185636.3"
"236.965896893828",NA,"9776162"
"237.04044214943","C11H10O6","1576237"
"237.076835148844","C12H14O5","1418546.5"
"238.962964376598","C13H4OS2","2706779.5"
"239.019722068048","C10H8O7","1379812.8"
"239.056111749827","C11H12O6","2062186.8"
"239.067335160005","C10H12O5N2","2040172.6"
"239.092497043343","C12H16O5","1384560.9"
"239.128875334313","C13H20O4","4307831"
"241.071742177286","C11H14O6","1744583.3"
"241.136462002825",NA,"7487187"
"241.144500716867","C13H22O4","1313300.4"
"242.139774985264","C12H21O4N","2594443.8"
"242.176146484794","C13H25O3N","2243474.5"
"243.051022355256","C10H12O7","1252921.6"
"243.087381596419","C11H16O6","1403456.8"
"243.123762567035","C12H20O5","1499207.8"
"243.133514748991",NA,"3128393.8"
"245.04891188695","C10H14O5S","1808330.5"
"245.103064150889","C11H18O6","2048725.8"
"245.139434182554","C12H22O5","1181149.3"
"246.109550881071","C9H17O5N3","3860138"
"246.940320939851",NA,"1275485.8"
"247.024801042077","C12H8O6","1262448.3"
"247.061201110717","C13H12O5","1511544.3"
"247.097594453292","C14H16O4","1453952.3"
"247.118732964001","C11H20O6","1173764.9"
"249.076852687644","C13H14O5","2446399.3"
"249.113222395913","C14H18O4","1366343.8"
"250.981556004188",NA,"14285571"
"251.019733178809","C11H8O7","2065163.9"
"251.056098647611","C12H12O6","1638420.8"
"251.092506319237","C13H16O5","1630749.5"
"251.211833024888",NA,"1176378.5"
"251.981136323598",NA,"1653239.3"
"252.978589348877",NA,"5359856.5"
"253.035398330868","C11H10O7","2019839"
"253.07177564068","C12H14O6","2039816.1"
"253.108134502222","C13H18O5","1724433.4"
"253.144533727518","C14H22O4","1342234.6"
"255.05104328059","C11H12O7","2288646.3"
"255.087416289284","C12H16O6","2059023.8"
"255.23297053275","C16H32O2","7170870"
"257.030303985754","C10H10O8","1331222.3"
"257.066676545624","C11H14O7","4606240"
"257.103052133468","C12H18O6","1919530"
"257.1394516025","C13H22O5","1266484"
"259.061202776841","C14H12O5","1215301.4"
"259.082340544151","C11H16O7","1702219.4"
"259.118707168251","C12H20O6","1755221.5"
"260.786923407679",NA,"2905901.3"
"260.955982909584",NA,"4524381.5"
"261.040467990784","C13H10O6","1198581.8"
"261.061588038628","C10H14O8","1195643.8"
"261.076859822572","C14H14O5","2056320.1"
"261.113247736521","C15H18O4","2205322.5"
"261.778591755174",NA,"1198922.3"
"262.784003123736",NA,"4137838.8"
"263.019720978381","C12H8O7","1980339.8"
"263.056132940273","C13H12O6","1870782.4"
"263.092481519202","C14H16O5","2514377"
"263.128907990626","C15H20O4","1342931.8"
"264.781063778268",NA,"2923453"
"264.959746767691",NA,"3088370.3"
"264.997214091505",NA,"4220413.5"
"265.035393776946","C12H10O7","2188041"
"265.071785513532","C13H14O6","2778643.8"
"265.108154498567","C14H18O5","2569246.8"
"265.121237246142",NA,"1388834.6"
