"Mass","MolForm","Count"
"200.748257087543",NA,"1135163"
"200.93794587064",NA,"1241940"
"201.113196944252","C10H18O4","1797482.9"
"201.275662474944",NA,"1216639.9"
"203.092453588257","C9H16O5","1368415.5"
"203.309623363952",NA,"1154937"
"205.014218786201","C10H6O5","1843639.8"
"205.05059474712","C11H10O4","1770299.6"
"205.159757838433","C14H22O","4819143.5"
"207.029870854621","C10H8O5","2223239.3"
"207.066249021166","C11H12O4","1835915"
"207.102632074417","C12H16O3","1165326.5"
"207.273746496409",NA,"1145375.4"
"209.009120706343","C9H6O6","2020931.6"
"209.045511357618","C10H10O5","2219591"
"209.081898098492","C11H14O4","2334026.3"
"209.77598884564",NA,"1348617.1"
"210.842298172441",NA,"1704935.3"
"211.024787422472","C9H8O6","3539191"
"211.061173644796","C10H12O5","2932474.3"
"213.015277479573","C7H6O6N2","1939103.6"
"213.040428460985","C9H10O6","2261153.8"
"213.076821569167","C10H14O5","2756260.8"
"214.215623190459",NA,"1202818.5"
"215.05607855856","C9H12O6","1999687.1"
"215.092472606394","C10H16O5","2488394"
"215.128844637363","C11H20O4","2363469"
"217.071743109364","C9H14O6","1475563"
"217.108116925935","C10H18O5","1260398"
"217.317800201279",NA,"1276671.1"
"219.029882278359","C11H8O5","1901196.3"
"219.066240733666","C12H12O4","1429647.3"
"219.507756835104",NA,"1147508.3"
"221.009125917917","C10H6O6","2134324.5"
"221.045519148712","C11H10O5","2960183.8"
"221.081891220993","C12H14O4","13373499"
"221.15467759026","C14H22O2","1238209.3"
"221.762424470328",NA,"1193206.8"
"222.09020962229",NA,"2703508"
"222.950238026828",NA,"1279458.3"
"223.024793149015","C10H8O6","4213993"
"223.061152325181","C11H12O5","2953964.5"
"223.097560476044","C12H16O4","1678319.9"
"223.133954616791","C13H20O3","1200371.3"
"224.273695026337",NA,"1172319.4"
"225.004032134366","C9H6O7","3460007"
"225.040449425761","C10H10O6","4115370.8"
"225.076819499069","C11H14O5","3660206.3"
"225.113187324246","C12H18O4","1413297.9"
"226.479939214497",NA,"1153214.8"
"227.01968946285","C9H8O7","1337464.6"
"227.056078968671","C10H12O6","2462332.5"
"227.092465961673","C11H16O5","2367616.5"
"227.128872213729","C12H20O4","1795460.5"
"228.367939184332",NA,"1150095.9"
"229.035349694013","C9H10O7","1425246.4"
"229.071741258755","C10H14O6","2596450.8"
"229.108115116444","C11H18O5","1221991"
"229.144519996425","C12H22O4","1814635.4"
"229.706671042852",NA,"1188399.9"
"230.422359215016",NA,"1218441.9"
"231.029877682756","C12H8O5","1400152.9"
"231.066259288635","C13H12O4","1279709.8"
"231.087383471431","C10H16O6","1856608.5"
"233.009146328913","C11H6O6","1679467.9"
"233.045530744435","C12H10O5","1838449.1"
"233.081920778568","C13H14O4","2018934.5"
"233.154684480267","C15H22O2","8286593"
"234.155329136508",NA,"1228311.5"
"235.024791246263","C11H8O6","3430047.5"
"235.061187254299","C12H12O5","3136165.5"
"235.074240084576",NA,"1300263.5"
"235.097574871721","C13H16O4","2268075.3"
"235.744262532665",NA,"1221140"
"236.105381468175",NA,"3274063.8"
"236.965896893828",NA,"8444897"
"237.004057938512","C10H6O7","1823719.9"
"237.04044214943","C11H10O6","4356590"
"237.076835148844","C12H14O5","3316212.3"
"237.113222661535","C13H18O4","1812730.6"
"238.962964376598","C13H4OS2","2330436.8"
"239.019722068048","C10H8O7","3870031.3"
"239.056111749827","C11H12O6","3796310"
"239.067335160005","C10H12O5N2","4077400"
"239.092497043343","C12H16O5","2854748.5"
"239.128875334313","C13H20O4","6395235.5"
"240.22603907964",NA,"1187505.9"
"241.03537000793","C10H10O7","2842830.5"
"241.071742177286","C11H14O6","3618005.8"
"241.108108701126","C12H18O5","2393564.8"
"241.136462002825",NA,"26239714"
"241.144500716867","C13H22O4","2096612"
"242.139774985264","C12H21O4N","5273002.5"
"242.176146484794","C13H25O3N","1764273.6"
"242.645639907045",NA,"1174801.1"
"243.051022355256","C10H12O7","3576932.5"
"243.087381596419","C11H16O6","2632812"
"243.123762567035","C12H20O5","1446259.6"
"243.133514748991",NA,"10255478"
"243.160166460746","C13H24O4","1695355.1"
"243.813670308464",NA,"1229635.8"
"244.136867466335",NA,"1434952.1"
"245.03027368747","C9H10O8","1238919.9"
"245.045558737924","C13H10O5","1874955.1"
"245.04891188695","C10H14O5S","2532107.8"
"245.066684736377","C10H14O7","1739791.8"
"245.103064150889","C11H18O6","1887511.6"
"245.139434182554","C12H22O5","1346847.5"
"246.109550881071","C9H17O5N3","1381748.6"
"247.024801042077","C12H8O6","2591681.8"
"247.061201110717","C13H12O5","2649034"
"247.082336843181","C10H16O7","1885902.8"
"247.097594453292","C14H16O4","2299858.3"
