"Mass","MolForm","Count"
"201.282464439664",NA,"1138468.3"
"202.169049784673",NA,"1209331.4"
"202.978202838501",NA,"1317174.6"
"203.092453588257","C9H16O5","1245503.8"
"204.691834346487",NA,"1159223"
"205.014218786201","C10H6O5","2354125"
"205.05059474712","C11H10O4","1617103.5"
"205.159757838433","C14H22O","7169751"
"206.869897198844",NA,"1558593.5"
"207.029870854621","C10H8O5","2403402.8"
"207.066249021166","C11H12O4","2306124.8"
"208.018154497924",NA,"1163201"
"209.009120706343","C9H6O6","2166195.3"
"209.045511357618","C10H10O5","2952117.3"
"209.081898098492","C11H14O4","1728950.9"
"211.024787422472","C9H8O6","4409871"
"211.061173644796","C10H12O5","3278352.3"
"211.097554978113","C11H16O4","1386769.9"
"212.839342256102",NA,"1304791.3"
"212.886845377813",NA,"6072409"
"213.015277479573","C7H6O6N2","2693470"
"213.040428460985","C9H10O6","2350430.8"
"213.076821569167","C10H14O5","2978400.3"
"214.050931022372","C12H9O3N","1545220"
"214.883895382543",NA,"4771489.5"
"214.927300421395",NA,"1168163"
"215.004832815648",NA,"1297701.8"
"215.05607855856","C9H12O6","2735271.5"
"215.092472606394","C10H16O5","2235560.8"
"215.128844637363","C11H20O4","1783210"
"216.124095214762","C10H19O4N","1346636.4"
"216.88092862652",NA,"1365734.3"
"216.928444449029",NA,"12344552"
"217.01421785221","C11H6O5","1199338.9"
"217.071743109364","C9H14O6","1589484.9"
"217.086951767809","C13H14O3","1147373.4"
"219.029882278359","C11H8O5","1894192.6"
"219.066240733666","C12H12O4","1592882"
"221.009125917917","C10H6O6","3002233.5"
"221.045519148712","C11H10O5","2823291"
"221.081891220993","C12H14O4","8280444.5"
"221.118286459105","C13H18O3","1190781.8"
"221.15467759026","C14H22O2","2003327.1"
"221.829992848158",NA,"1164313.9"
"222.09020962229",NA,"3468708.5"
"222.950238026828",NA,"1858760.8"
"223.024793149015","C10H8O6","4368332"
"223.061152325181","C11H12O5","3038669.5"
"223.097560476044","C12H16O4","1636303.1"
"224.087267060683",NA,"1971452.1"
"224.479591528825",NA,"1158734.9"
"225.004032134366","C9H6O7","3810345"
"225.040449425761","C10H10O6","4262955"
"225.076819499069","C11H14O5","3282476.5"
"225.113187324246","C12H18O4","1675310.5"
"225.149604088393","C13H22O3","1282736.4"
"225.16968954344",NA,"1189553.4"
"227.01968946285","C9H8O7","1399959.6"
"227.056078968671","C10H12O6","4217498"
"227.092465961673","C11H16O5","2861212"
"227.128872213729","C12H20O4","1267870.3"
"228.659483382233",NA,"1302400.5"
"228.933689186416",NA,"1204755.5"
"229.035349694013","C9H10O7","1938714.6"
"229.071741258755","C10H14O6","2859805.3"
"229.108115116444","C11H18O5","1307167.8"
"229.144519996425","C12H22O4","2638114.3"
"230.848894962708",NA,"1190565"
"230.929826364403",NA,"1201067.6"
"231.029877682756","C12H8O5","1778484"
"231.05101195753","C9H12O7","1211957.8"
"231.066259288635","C13H12O4","1287735"
"231.087383471431","C10H16O6","1821624.8"
"232.093882228189","C8H15O5N3","1752592.8"
"233.009146328913","C11H6O6","2106215.3"
"233.045530744435","C12H10O5","2953322.8"
"233.066675889465","C9H14O7","1450604.9"
"233.081920778568","C13H14O4","1964910.4"
"233.114276552429","C9H18O5N2","1343089.5"
"233.118284192922","C14H18O3","1437681.9"
"233.154684480267","C15H22O2","9610358"
"233.584661802532",NA,"1170080.6"
"234.868810643857",NA,"1900841.4"
"235.024791246263","C11H8O6","4077882.8"
"235.061187254299","C12H12O5","3586879"
"235.097574871721","C13H16O4","1927491"
"235.133940754073","C14H20O3","1298503.1"
"236.105381468175",NA,"3698616.3"
"236.865835602516",NA,"1252885.3"
"236.965896893828",NA,"14756386"
"237.004057938512","C10H6O7","1851942.6"
"237.04044214943","C11H10O6","5069355"
"237.076835148844","C12H14O5","3966511.8"
"237.089878681132",NA,"1179057.5"
"237.113222661535","C13H18O4","2656308.5"
"237.965476866205",NA,"1236899"
"238.124976719819",NA,"1158648.1"
"238.962964376598","C13H4OS2","3699498.5"
"239.019722068048","C10H8O7","4538674.5"
"239.034988337925","C14H8O4","2214452.8"
"239.056111749827","C11H12O6","4312887.5"
"239.067335160005","C10H12O5N2","9343801"
"239.092497043343","C12H16O5","3541308.8"
"239.128875334313","C13H20O4","9276226"
"240.999007827695","C9H6O8","1227988.3"
"241.03537000793","C10H10O7","3758681.8"
"241.071742177286","C11H14O6","4914271.5"
"241.108108701126","C12H18O5","2494565"
"241.136462002825",NA,"28482666"
"241.144500716867","C13H22O4","1171946.6"
"242.139774985264","C12H21O4N","6158599"
"242.176146484794","C13H25O3N","2589964.8"
"243.051022355256","C10H12O7","3892635.8"
"243.087381596419","C11H16O6","3944354"
"243.123762567035","C12H20O5","1574055.9"
"243.133514748991",NA,"11619754"
