"Mass","MolForm","Count"
"200.235317494915",NA,"1146598.4"
"201.040431265132","C8H10O6","1772250.6"
"201.076812231104","C9H14O5","3148509"
"201.113196944252","C10H18O4","1567839.1"
"201.55704095131",NA,"1156985.9"
"201.802013912371",NA,"4296712"
"203.034950586133","C11H8O4","1548489.6"
"203.092453588257","C9H16O5","1675852.4"
"203.19894128935",NA,"1124625.6"
"204.791499231469",NA,"5080216.5"
"205.014218786201","C10H6O5","2548641.3"
"205.05059474712","C11H10O4","2262946.8"
"205.086977964246","C12H14O3","1273252.1"
"205.159757838433","C14H22O","2133415"
"206.788549981515",NA,"3388640.5"
"206.789446351356",NA,"4297440.5"
"206.791900751453",NA,"1174240.6"
"206.863116583005",NA,"1130210.9"
"206.993481407072","C9H4O6","1435879"
"207.029870854621","C10H8O5","3778792.3"
"207.066249021166","C11H12O4","2427625.3"
"208.786517163326",NA,"3149594.8"
"209.009120706343","C9H6O6","4091168.5"
"209.045511357618","C10H10O5","3995937.5"
"209.081898098492","C11H14O4","2951458.3"
"209.154680339789","C13H22O2","1205924.1"
"210.040762393522","C9H9O5N","1465018"
"211.024787422472","C9H8O6","5688145"
"211.061173644796","C10H12O5","4629329.5"
"211.097554978113","C11H16O4","5896018.5"
"211.133937736522","C12H20O3","1548115.3"
"212.886845377813",NA,"1746809.6"
"213.004054884117","C8H6O7","1572476.1"
"213.015277479573","C7H6O6N2","1552252.4"
"213.040428460985","C9H10O6","4540797"
"213.076821569167","C10H14O5","5958013.5"
"213.113209153546","C11H18O4","1539582.5"
"213.973602647079",NA,"1233809.3"
"214.050931022372","C12H9O3N","1159315"
"214.072073921271","C9H13O5N","1497235.4"
"214.144827458405","C11H21O3N","1580309"
"214.883895382543",NA,"1150629.6"
"215.05607855856","C9H12O6","5091753.5"
"215.092472606394","C10H16O5","3988394.5"
"215.128844637363","C11H20O4","3987883.3"
"217.050586552749","C12H10O4","1235931"
"217.071743109364","C9H14O6","2264283.5"
"217.108116925935","C10H18O5","1464028.5"
"217.839975765374",NA,"2796529"
"219.029882278359","C11H8O5","2243093.5"
