"Mass","MolForm","Count"
"200.805428271345",NA,"1288008.9"
"201.040431265132","C8H10O6","1141084.5"
"201.076812231104","C9H14O5","1688671.5"
"201.113196944252","C10H18O4","1400546.5"
"201.178680332767",NA,"1261671.9"
"201.802013912371",NA,"10726042"
"203.103686813096","C8H16O4N2","1447289.6"
"203.134589453525",NA,"1339643.8"
"203.799070094314",NA,"1304104.8"
"203.898336543685",NA,"1172335.4"
"204.791499231469",NA,"7039847.5"
"204.825338329813",NA,"1304937.6"
"205.014218786201","C10H6O5","1284085"
"205.05059474712","C11H10O4","1366519.1"
"205.159757838433","C14H22O","1959805.6"
"206.182504816487",NA,"1146039.4"
"206.788549981515",NA,"3522519.5"
"206.789446351356",NA,"5509079.5"
"206.869897198844",NA,"1924571.8"
"207.029870854621","C10H8O5","1925091.9"
"207.066249021166","C11H12O4","1135845.8"
"208.599083732217",NA,"1178351.4"
"208.684923515623",NA,"1182259.3"
"208.786517163326",NA,"3175479.8"
"208.845231900347",NA,"2391866.5"
"209.009120706343","C9H6O6","1706561.8"
"209.045511357618","C10H10O5","2304835.3"
"209.081898098492","C11H14O4","1728453"
"210.040762393522","C9H9O5N","1348078"
"210.163714779166",NA,"1177459.1"
"210.786912033811",NA,"1273100.5"
"210.842298172441",NA,"3402894.8"
"211.024787422472","C9H8O6","1729174"
"211.061173644796","C10H12O5","2505623.5"
"211.097554978113","C11H16O4","3074201"
"211.133937736522","C12H20O3","1208090.4"
"212.056422887594","C9H11O5N","1130814.1"
"212.839342256102",NA,"1870299.6"
"212.886845377813",NA,"7281885.5"
"213.015277479573","C7H6O6N2","1900002.1"
"213.040428460985","C9H10O6","1408995.1"
"213.076821569167","C10H14O5","2630628.5"
"213.113209153546","C11H18O4","1186021.9"
"214.050931022372","C12H9O3N","1313800.4"
"214.102510779926",NA,"1165194.3"
"214.883895382543",NA,"4756263"
"215.05607855856","C9H12O6","1690669.3"
"215.092472606394","C10H16O5","1629486.5"
"215.128844637363","C11H20O4","1697839.9"
"216.742041040749",NA,"1137964"
"216.928444449029",NA,"2479987"
"217.071743109364","C9H14O6","1367032.5"
"217.108116925935","C10H18O5","1373177.9"
"217.839975765374",NA,"2499990.5"
"218.659487125892",NA,"1178551.5"
"219.066240733666","C12H12O4","1210312.4"
"219.837029908195",NA,"1976297.5"
"220.132336339619",NA,"1190390.6"
"221.009125917917","C10H6O6","1464095"
"221.045519148712","C11H10O5","1801248.8"
"221.081891220993","C12H14O4","10679843"
"221.15467759026","C14H22O2","1160230"
"222.09020962229",NA,"3050580.5"
"222.842244815288",NA,"7336572.5"
"222.950238026828",NA,"3180674.3"
"223.024793149015","C10H8O6","2021510.4"
"223.061152325181","C11H12O5","1685896.4"
"223.097560476044","C12H16O4","1268490.5"
"223.133954616791","C13H20O3","1409932.5"
"224.056423283216","C10H11O5N","1631681.9"
"224.087267060683",NA,"1676227.8"
"224.651384662677",NA,"1230054.6"
"224.839290613273",NA,"4755698.5"
"224.947309353375",NA,"1249785.5"
"225.040449425761","C10H10O6","2116607.5"
"225.076819499069","C11H14O5","1757186"
"225.113187324246","C12H18O4","1590532.4"
"226.559867704201",NA,"1266793.3"
"226.836301838989",NA,"1290877.9"
"227.056078968671","C10H12O6","1891214.8"
"227.092465961673","C11H16O5","3338641.5"
"227.128872213729","C12H20O4","1203092.4"
"227.251830902423",NA,"1192350"
"227.303911766726",NA,"1178786"
"228.851856687166",NA,"1244708.3"
"229.035349694013","C9H10O7","1164852.8"
"229.071741258755","C10H14O6","2444344"
"229.144519996425","C12H22O4","1722430.8"
"229.262551654786",NA,"1157193.6"
"230.206777184361",NA,"1192356.5"
"231.087383471431","C10H16O6","1473023.8"
"232.093882228189","C8H15O5N3","1480560.3"
"233.045530744435","C12H10O5","1380322.8"
"233.081920778568","C13H14O4","1187559.3"
"233.154684480267","C15H22O2","7498224.5"
"234.868810643857",NA,"1922772"
"235.024791246263","C11H8O6","1329513.9"
"235.061187254299","C12H12O5","2181359"
"235.074240084576",NA,"1540336.9"
"235.797399476697",NA,"1262169.5"
"236.567730439316",NA,"1154765.8"
"236.965896893828",NA,"8682508"
"237.004057938512","C10H6O7","1278993.6"
"237.04044214943","C11H10O6","2083863.4"
"237.076835148844","C12H14O5","3508253"
"238.072065454105","C11H13O5N","1692350.1"
"238.962964376598","C13H4OS2","2241876.8"
"239.019722068048","C10H8O7","1314910.5"
"239.034988337925","C14H8O4","1224289.1"
"239.056111749827","C11H12O6","2245476.8"
"239.067335160005","C10H12O5N2","4965222.5"
"239.092497043343","C12H16O5","2840427"
"239.128875334313","C13H20O4","8255857.5"
"239.165257144449","C14H24O3","1253047.6"
"239.760388253115",NA,"2890208.5"
"240.087731859761","C11H15O5N","1368347.3"
"241.03537000793","C10H10O7","1481417.8"
"241.071742177286","C11H14O6","3445968.5"
"241.108108701126","C12H18O5","2073303.4"
"241.136462002825",NA,"68331232"
"241.144500716867","C13H22O4","2887390.3"
"241.757451400266",NA,"3876691"
"241.758342075002",NA,"4187475"
"242.067003394095","C10H13O6N","2425743"
"242.139774985264","C12H21O4N","11929501"
"242.176146484794","C13H25O3N","3581348.3"
"242.604108383538",NA,"1153016.4"
"243.014629673775","C9H8O8","1261002.4"
"243.051022355256","C10H12O7","2420817.8"
"243.087381596419","C11H16O6","2677337"
"243.123762567035","C12H20O5","1716320.4"
"243.133514748991",NA,"22128738"
"243.160166460746","C13H24O4","1362791.8"
"243.755390487252",NA,"3580641.3"
"243.839029079032",NA,"1167474.5"
"244.136867466335",NA,"3299120.3"
"245.04891188695","C10H14O5S","1423985"
"245.066684736377","C10H14O7","1563380.9"
"245.103064150889","C11H18O6","3408380.8"
"245.752435630821",NA,"1469833.4"
"246.109550881071","C9H17O5N3","3013335.8"
"246.940320939851",NA,"1428369.3"
"247.024801042077","C12H8O6","1570468.4"
"247.061201110717","C13H12O5","1536428.6"
"247.074263164443",NA,"5906351.5"
"247.097594453292","C14H16O4","1593012.8"
"247.110625955868",NA,"2990519.8"
"247.376566575727",NA,"1231604.3"
"247.821646620676",NA,"1183450.5"
"248.020054744342","C11H7O6N","1169032.4"
"248.39601482681",NA,"1188064"
"249.004063600746","C11H6O7","1172591.4"
"249.04046751717","C12H10O6","2198648"
"249.071290403713",NA,"1621119.4"
"249.076852687644","C13H14O5","1903488.6"
"249.089887662805",NA,"1323651.8"
"249.107689155473",NA,"1412232"
"250.16294805145",NA,"1267974.1"
"250.981556004188",NA,"7324495.5"
"251.019733178809","C11H8O7","1167960.8"
"251.056098647611","C12H12O6","2918241.8"
"251.069192576234",NA,"1216613"
"251.092506319237","C13H16O5","2419050.8"
"251.128903530196","C14H20O4","1983859.9"
"252.978589348877",NA,"2815304"
"253.035398330868","C11H10O7","2953046.5"
"253.07177564068","C12H14O6","3279200"
"253.082998606432","C11H14O5N2","3670883"
"253.108134502222","C13H18O5","3053417.5"
"253.144533727518","C14H22O4","4793715"
"253.198778814555",NA,"1187456.8"
"254.067022184674","C11H13O6N","1746275"
"255.014629846162","C10H8O8","1183581.6"
"255.05104328059","C11H12O7","3374951.5"
"255.087416289284","C12H16O6","4086129"
"255.123777597574","C13H20O5","2578298.8"
"255.23297053275","C16H32O2","2023576"
"256.08268374089","C11H15O6N","1394044.8"
"256.876531404787",NA,"1409877.1"
"257.030303985754","C10H10O8","1548415.4"
"257.066676545624","C11H14O7","3417481.3"
"257.103052133468","C12H18O6","3118995.3"
"257.131384889909",NA,"1314459.1"
"257.1394516025","C13H22O5","1418909.4"
"257.811117795744",NA,"1740375"
"258.134712278131","C12H21O5N","1250481"
"259.045954685646","C10H12O8","2025648.5"
"259.061202776841","C14H12O5","1206196.9"
"259.082340544151","C11H16O7","2544570.8"
"259.110641150729",NA,"1198274.8"
"259.808186686842",NA,"1466760.5"
"260.786923407679",NA,"1753760.5"
"260.955982909584",NA,"2731985.3"
"261.040467990784","C13H10O6","1948137.6"
"261.076859822572","C14H14O5","1760244.1"
"261.1092438409","C10H18O6N2","1360253.5"
"261.113247736521","C15H18O4","1267966.6"
"262.035732326912","C12H9O6N","1212554.1"
"262.07210082377","C13H13O5N","1504788.8"
"262.784003123736",NA,"3525092.8"
"263.019720978381","C12H8O7","2300202.3"
"263.056132940273","C13H12O6","2586164.8"
"263.069156598985",NA,"1968696.6"
"263.092481519202","C14H16O5","2649151.5"
"263.105583831895",NA,"1278019.4"
"263.126244595058",NA,"1251273.5"
"263.128907990626","C15H20O4","1771338.3"
"264.051361156532","C12H11O6N","1251674.8"
