"Mass","MolForm","Count"
"200.056415832226","C8H11O5N","1137739.4"
"200.092796017419","C9H15O4N","1911056.6"
"201.022676599384","C8H10O4S","1424019.4"
"201.040431265132","C8H10O6","3119253.8"
"201.076812231104","C9H14O5","9175707"
"201.092048993464","C13H14O2","1846428.9"
"201.113196944252","C10H18O4","10895008"
"201.124417891011","C9H18O3N2","1605025.4"
"201.149578211959","C11H22O3","1374756.8"
"201.802013912371",NA,"3916540.8"
"202.072056785429","C8H13O5N","1316512.3"
"202.828284674746",NA,"2859649.8"
"202.974644353719",NA,"1201492.3"
"203.056088073855","C8H12O6","2588574.5"
"203.092453588257","C9H16O5","6293411"
"203.128837832673","C10H20O4","3244711.5"
"204.825338329813",NA,"3479668.3"
"204.924970898764",NA,"1212543.9"
"205.014218786201","C10H6O5","1874058.3"
"205.05059474712","C11H10O4","2988942.5"
"205.108116619205","C9H18O5","1158549"
"206.791900751453",NA,"2416976.8"
"206.822385734943",NA,"2283604.3"
"206.869897198844",NA,"1891161.3"
"206.910023102085",NA,"1431645.6"
"206.920604222501",NA,"1136286.8"
"207.029870854621","C10H8O5","3695722.5"
"207.066249021166","C11H12O4","2462574.5"
"207.07931706972",NA,"1168879.9"
"207.102632074417","C12H16O3","1721970.4"
"208.025121541864","C9H7O5N","1532115.6"
"208.06150640565","C10H11O4N","1361495.4"
"208.097890058785","C11H15O3N","7551451"
"208.453286293943",NA,"1261055.8"
"208.789873925301",NA,"2181154"
"208.845231900347",NA,"12635688"
"209.009120706343","C9H6O6","2499128.3"
"209.045511357618","C10H10O5","5825084"
"209.058568966851",NA,"1513149.3"
"209.081898098492","C11H14O4","4608063.5"
"209.154680339789","C13H22O2","2052423"
"210.040762393522","C9H9O5N","2820767"
"210.07714085529","C10H13O4N","1899170.6"
"210.786912033811",NA,"1640167.9"
"210.842298172441",NA,"18385646"
"211.016315315752",NA,"1141118.1"
"211.024787422472","C9H8O6","5096703"
"211.061173644796","C10H12O5","11625218"
"211.097554978113","C11H16O4","9686790"
"211.133937736522","C12H20O3","4525833.5"
"212.020018214938","C8H7O6N","4120414"
"212.056422887594","C9H11O5N","2404449.5"
"212.839342256102",NA,"10336171"
"212.886845377813",NA,"11152304"
"212.979181491172",NA,"8681400"
"213.015277479573","C7H6O6N2","17560508"
"213.040428460985","C9H10O6","4684734"
"213.076821569167","C10H14O5","11122626"
