"Mass","MolForm","Count"
"200.092796017419","C9H15O4N","2691939.3"
"200.12917230768","C10H19O3N","1200358.9"
"200.805428271345",NA,"4870312.5"
"200.93794587064",NA,"2794677"
"200.989182711731",NA,"1467321.9"
"201.040431265132","C8H10O6","2468030.8"
"201.076812231104","C9H14O5","11437762"
"201.113196944252","C10H18O4","16382661"
"201.124417891011","C9H18O3N2","16921286"
"201.149578211959","C11H22O3","1683656.9"
"201.161645796498",NA,"1362762"
"201.729260895049",NA,"1188797.5"
"201.802013912371",NA,"46906116"
"201.804674054426",NA,"1208964.3"
"202.072056785429","C8H13O5N","1211675.6"
"202.108438580329","C9H17O4N","3271966.8"
"202.312318937443",NA,"1162544.4"
"202.802471324132",NA,"1222233.6"
"202.828284674746",NA,"15696732"
"203.014629573494",NA,"1234283.1"
"203.056088073855","C8H12O6","6028142.5"
"203.092453588257","C9H16O5","7745393.5"
"203.128837832673","C10H20O4","2174580.3"
"203.799070094314",NA,"3956649.5"
"204.066588592769","C11H11O3N","2745278"
"204.825338329813",NA,"18715638"
"205.05059474712","C11H10O4","1478790.6"
"205.071728897906","C8H14O6","1876488.1"
"205.430948390559",NA,"1132641.5"
"206.789446351356",NA,"1230845"
"206.791900751453",NA,"1846653.1"
"206.822385734943",NA,"8777855"
"206.869897198844",NA,"2017154.1"
"207.012110279783","C10H8O3S","2028427.3"
"207.029870854621","C10H8O5","1716876.4"
"207.066249021166","C11H12O4","1532558.8"
"207.102632074417","C12H16O3","1491601"
"207.139023484778","C13H20O2","1832595.4"
"208.074577289772",NA,"2491085.5"
"208.788974580722",NA,"1269752.3"
"208.789873925301",NA,"2205432.3"
"208.819431651324",NA,"2242810"
"208.845231900347",NA,"49962236"
"208.866942508854",NA,"1687292.9"
"208.934578888928",NA,"2468352.8"
"208.943425494404",NA,"1520641.4"
"209.009120706343","C9H6O6","3991301.3"
"209.045511357618","C10H10O5","3195143.3"
"209.058568966851",NA,"1179016.1"
"209.081898098492","C11H14O4","2310153.5"
"209.118293639431","C12H18O3","2035723.5"
"209.154680339789","C13H22O2","5412621.5"
"209.732124633919",NA,"1247150.9"
"210.071613852833",NA,"1409346.1"
"210.07714085529","C10H13O4N","1164866.4"
"210.786912033811",NA,"1536618"
"210.839363486807",NA,"1282668.9"
"210.842298172441",NA,"78421360"
"210.845205328945",NA,"1571693.3"
"210.898235072776",NA,"1162864.1"
"211.024787422472","C9H8O6","3640183"
"211.036007717967","C8H8O5N2","1588215.8"
"211.061173644796","C10H12O5","3112825"
"211.097554978113","C11H16O4","12117371"
"211.133937736522","C12H20O3","8270205"
"211.963921880812",NA,"1140906.3"
"212.020018214938","C8H7O6N","1510061.3"
"212.056422887594","C9H11O5N","1234735.3"
"212.092817652485","C10H15O4N","1189041.3"
"212.839342256102",NA,"41201112"
"212.886845377813",NA,"9910748"
"212.979181491172",NA,"21585376"
"213.015277479573","C7H6O6N2","7024099"
"213.040428460985","C9H10O6","2647524.3"
"213.076821569167","C10H14O5","7553510"
"213.113209153546","C11H18O4","9140712"
"213.124441853073","C10H18O3N2","6430184.5"
"213.149580605995","C12H22O3","2969066"
"213.611635222172",NA,"1229570.8"
"214.050931022372","C12H9O3N","4515866.5"
"214.108465571565","C10H17O4N","1817117.5"
"214.144827458405","C11H21O3N","2357535.5"
"214.268929804399",NA,"1141798.1"
"214.836392930714",NA,"6943301"
"214.883895382543",NA,"4841031.5"
"214.934886885427",NA,"1695050.1"
"214.98812604609","C5H4O4N4S","1762381"
"215.004832815648",NA,"1721934"
